root0,123450,蓝伊,女,640424199211087146
root1,123451,满承承,男,500222198705175171
root2,123452,耿霭竹,女,140826198812141074
root3,123453,门莺,女,654326198612105534
root4,123454,桓晓凡,女,340302199304259125
root5,123455,浦筠霭,女,361027197902168705
root6,123456,顾宜梦,女,532300199911305976
root7,123457,谈康和,男,130728200302265873
root8,123458,阴武,男,350603197303116101
root9,123459,羊梅筠,女,411628196410293680
root10,1234510,屈晓,女,360702199804263644
root11,1234511,仰青纨,女,210903200910236228
root12,1234512,迟斌,男,511902195401242381
root13,1234513,章琼筠,女,450107197112304910
root14,1234514,毛国振,男,500108195310119080
root15,1234515,太晓珍,女,140425196209039764
root16,1234516,师芬佳,女,130434195610214530
root17,1234517,狐胜士,男,62052119741018716X
root18,1234518,司滢荔,女,450223198708065762
root19,1234519,佴婉,女,532527197010202592
root20,1234520,韦弘,男,440112197402082737
root21,1234521,邓楠,男,331102200904090099
root22,1234522,徒波,男,620105200302130046
root23,1234423,雷艺,女,450102197110100461
root25,1234525,东心元,男,37140019530505988X
root26,1234526,郭凝,女,130125200603201521
root27,1234527,权英影,女,622900197103239566
root28,1234528,郗黛,女,431124198706278017
root29,1234529,车榕,男,513229195210235828
root30,1234530,狐桂,女,430426198204033421
root31,1234531,宫真,女,150302200302265935
root32,1234532,宓伊,女,210181195709150424
root33,1234533,游姬晓,女,433125198010092992
root34,1234534,奚澜馨,女,15010419761206591X
root35,1234535,墨奇,男,370832196111294714
root36,1234536,童茂祥,男,211322199004103871
root37,1234537,里翔辰,男,411425199708130247
root38,1234538,武力宏,男,360823195911114440
root39,1234539,管思,男,150981195407312990
root40,1234540,明进保,男,530122196008054869
root41,1234541,潘世兴,男,500240199105120473
root42,1234542,康婷,女,469031196908091359
root43,1234543,伏咏雁,女,140221200011125715
root44,1234544,子鸣,男,622923198407118156
root45,1234545,夏雅露,女,42020020071129585X
root46,1234546,湛政世,男,340102198612134126
root47,1234547,西凤霭,女,500232196406303982
root48,1234548,逄清,男,141021200811060155
root49,1234549,于颖瑶,女,31010320091126786X
root50,1234550,官卿,女,340300198608252961
root51,1234551,杭姬娥,女,230302195602040697
root52,1234552,严荣婵,女,140923198310313389
root53,1234553,官莺瑞,女,611021200812017565
root54,1234554,蔺贵功,男,469032197208068968
root55,1234555,乜有义,男,211404200002098747
root56,1234556,竺亚,女,411424199606016199
root57,1234557,管群,男,632624197311055784
root58,1234558,干影,女,141129200410077411
root59,1234559,咎超,男,21021319590619488X
root60,1234560,武德,男,220524199309081006
root61,1234561,海承,男,410222198810226784
root62,1234562,劳艳,女,532325195108268298
root63,1234563,夏莲艳,女,150600199010048865
root64,1234564,钮俊功,男,370830196206239379
root65,1234565,越瑞,女,510113200609128017
root66,1234566,上贞,女,460107198208146001
root67,1234567,农富壮,男,542334197504117990
root68,1234568,却茜瑞,女,360121200910149759
root69,1234569,离保,男,32012519501114270X
root70,1234570,益哲,男,211422196903152783
root71,1234571,公凤瑗,女,141121196007043633
root72,1234572,经融云,女,220181197001040685
root73,1234573,伍善,男,440903200203205919
root74,1234574,魏瑾,女,510304197204071198
root75,1234575,左河天,男,220211199903240964
root76,1234576,叔泽,男,340103200705275426
root77,1234577,季政良,男,500238197807302406
root78,1234578,樊敬炎,男,500223200411253150
root79,1234579,蓝奇朗,男,130108197101212609
root80,1234580,司武风,男,360802196804147549
root81,1234581,孙磊泰,男,652723200707209898
root82,1234582,洪香,女,652929198211134254
root83,1234583,牟顺伟,男,513437198604261425
root84,1234584,晏岩,男,431022200601055425
root85,1234585,东保,男,451229200607030842
root86,1234586,姚风福,男,140200198911169455
root87,1234587,帅健,男,15020719661230591X
root88,1234588,干茂,男,610126196006025277
root89,1234589,巴丽,女,140622196612248998
root90,1234590,易峰明,男,130533196609112194
root91,1234591,徒群超,男,141082196803038453
root92,1234592,容希媛,女,441303199908074771
root93,1234593,叶育珠,女,210403198004065888
root94,1234594,茹妍伊,女,441200199012211791
root95,1234595,钦珠咏,女,410721199804091356
root96,1234596,马琰凤,女,140223199101267351
root97,1234597,嵇才鸣,男,410527200209013364
root98,1234598,蓝思萍,女,620902200305036447
root99,1234599,段艺妍,女,653221199710055936
root100,12345100,徐滢嘉,女,210423195711168394
root101,12345101,文豪,男,542428196209126126
root102,12345102,木真,女,43138120040606041X
